tipo,tam_tab,tam_dados,hash,modo,tempo_ins,colisoes,tempo_busca,achados,maiores,gaps
enc,1000,100000,1,nulo,37.3602,99000,250.9077,100000,[130, 128, 126],--
tipo,tam_tab,tam_dados,hash,modo,tempo_ins,colisoes,tempo_busca,achados,maiores,gaps
enc,1000,100000,1,nulo,50.7148,99000,413.8129,100000,[130, 128, 126],--
ab,1000,100000,1,1,2948.5776,99021922,4065.6594,1000,--,--
ab,1000,100000,1,2,2657.8421,99004843,3392.96,1000,--,--
ab,1000,100000,1,3,4410.7709,99005020,6290.3252,1000,--,--
enc,1000,100000,2,nulo,12.1959,99023,292.6905,100000,[234, 222, 220],--
ab,1000,100000,2,1,3456.2624,99012859,4658.7376,1000,--,--
ab,1000,100000,2,2,3527.7016,99004258,4445.1713,1000,--,--
ab,1000,100000,2,3,6460.7096,99004741,9346.4299,1000,--,--
enc,1000,100000,3,nulo,15.8298,99934,10808.6488,100000,[4634, 4581, 4546],--
ab,1000,100000,3,1,2873.201,99473811,3568.5334,1000,--,--
ab,1000,100000,3,2,2706.4453,99032388,3480.6882,1000,--,--
ab,1000,100000,3,3,5827.2887,99006787,7583.8411,1000,--,--
enc,1000,1000000,1,nulo,226.6716,999000,63858.0782,1000000,[1103, 1088, 1088],--
ab,1000,1000000,1,1,40598.7547,999019340,61376.8382,1000,--,--
ab,1000,1000000,1,2,32547.5465,999004561,46458.1164,1000,--,--
ab,1000,1000000,1,3,68124.0296,999004768,89948.9886,1000,--,--
enc,1000,1000000,2,nulo,299.2585,999012,61643.7684,1000000,[2096, 2094, 2091],--
ab,1000,1000000,2,1,34126.3816,999014179,57954.1531,1000,--,--
ab,1000,1000000,2,2,39125.6931,999005462,60488.3949,1000,--,--
ab,1000,1000000,2,3,68378.6141,999005518,86417.5419,1000,--,--
enc,1000,1000000,3,nulo,43.5014,999928,1737781.4143,1000000,[45545, 45362, 45030],--
ab,1000,1000000,3,1,25195.8538,999473603,35339.6361,1000,--,--
ab,1000,1000000,3,2,26246.5519,999032126,36030.2823,1000,--,--
ab,1000,1000000,3,3,57118.9168,999006842,76886.1818,1000,--,--
